year,National_Defense,International_Affairs,Environment,Science_Space_Tech,Agriculture
1976,97331,14057,6055,4266,4760
1977,110150,8214,9489,1095,3629
1978,117227,11575,13651,5081,6139
1979,126467,10382,13251,5570,14630
1980,143859,17952,13096,6250,10227
1981,180001,27352,11171,6643,13336
1982,216547,18224,11263,7218,24075
1983,245043,10739,13297,8155,35048
1984,265157,24547,12276,8815,11648
1985,294651,26446,13332,9148,27330
1986,289144,16652,11713,9272,29756
1987,287424,18721,14570,12522,25254
1988,292007,17179,15370,10843,18241
1989,299563,17250,16973,12932,20884
1990,303253,18805,18121,14627,14261
1991,288872,22685,19216,16500,16943
1992,295066,21209,21266,17304,22093
1993,281075,32303,21621,17212,18838
1994,263319,17693,22578,17580,16811
1995,266386,25621,20919,16675,8429
1996,266181,16387,21492,16691,9495
1997,270363,14571,22923,16640,11308
1998,271036,14714,24344,17948,12582
1999,292236,37871,24403,18816,23933
2000,304004,22642,25003,19248,33528
2001,334705,20162,28957,20989,28886
2002,362007,25108,31098,21978,23558
2003,455983,31689,31771,23012,24637
2004,490526,45135,32845,23367,32729
2005,505740,32847,33000,24329,29235
2006,556266,32712,38063,25025,25624
2007,625823,68380,33732,25380,22784
2008,696233,47910,37156,26793,17449
2009,697562,63376,57392,34103,24136
2010,721188,60595,39657,30088,19847
2011,717035,53589,35356,29653,21510
2012,681423,93339,36959,29227,20860
2013,610157,40553,41038,27964,27436
2014,622284,57489,37721,29443,24461
2015,598409,63258,35675,29922,16942
